Pilotos,China,Zandvoort
A. Romero,31,47
E. Reig,22,36
A. Simón,16,34
A. Torres,26,26
P. Cantero,4,28
F. Leiva,10,20
L. Ramos,14,11
J. Muñoz,19,8
A. Teixidó,,23
J. García,8,14
I. Fajardo,2,18
D. Cordón,6,15
R. Ascenso,3,12
A. Valverde,12,3
M. Sugrañes,,5
S. C. Pascual,5,
E. García,1,
V. Font,0,0
K. Leal,,
J. Arnal,,
T. Casado,,
R. Floria,,
E. Clascà,,
